Determination start,Ident,Sample type,Method name,User (short name),Info 1,Anions.Chloride.Concentration,Anions.Bromide.Concentration,Anions.Sulfate.Concentration,Anions.Iodide.Concentration,Organic Acids.Formic acid.Concentration,Organic Acids.Acetic acid.Concentration,Organic Acids.Propionic acid.Concentration,Organic Acids.Butyrate.Concentration
2015-05-07 01:34:24 UTC-6,CVE1504A001,Sample,Cenovus anions,Lifeng,20 x dilution,131.791,0.652,1.092,0.121,,,,
2015-05-07 00:28:35 UTC-6,LFB,Sample,Cenovus anions,Lifeng,,9.953,1.930,1.948,1.945,,,,
2015-05-06 23:22:49 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,50.692,4.924,5.135,4.927,,,,
2015-05-06 22:17:04 UTC-6,LRB,Sample,Cenovus anions,Lifeng,,,,0.047,,,,,
2015-05-06 21:11:15 UTC-6,IPC,Sample,Cenovus anions,Lifeng,,99.583,4.922,4.901,4.905,,,,
2015-05-06 20:05:08 UTC-6,Standard 6,Standard 6,Cenovus anions,Lifeng,,199.995,10.037,10.046,10.052,,,,
2015-05-06 18:59:21 UTC-6,Standard 5,Standard 5,Cenovus anions,Lifeng,,100.045,4.902,4.826,4.769,,,,
2015-05-06 17:53:33 UTC-6,Standard 4,Standard 4,Cenovus anions,Lifeng,,50.603,1.922,1.905,1.857,,,,
2015-05-06 16:47:47 UTC-6,Standard 3,Standard 3,Cenovus anions,Lifeng,,25.274,0.490,0.507,0.486,,,,
2015-05-06 15:41:58 UTC-6,Standard 2,Standard 2,Cenovus anions,Lifeng,,4.938,0.129,0.150,0.129,,,,
2015-05-06 14:36:19 UTC-6,Standard 1,Standard 1,Cenovus anions,Lifeng,,2.403,0.085,0.109,0.093,,,,
2015-05-06 13:29:56 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.254,,,,,,
2015-04-29 16:24:42 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,25.303
2015-04-29 15:35:26 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,22.068
2015-04-29 14:45:58 UTC-6,4A 1:20,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,3.077,27.372,,41.176
2015-04-29 13:26:36 UTC-6,1A 1:20,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,3.932,26.560,,64.334
2015-04-29 12:37:16 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,0.753,,10.190,151.548
2015-04-29 04:29:47 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,20.708
2015-04-29 03:40:26 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,23.065
2015-04-29 02:50:55 UTC-6,QC20,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,19.710,21.348,20.471,41.470
2015-04-29 01:31:19 UTC-6,6A 1:10,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs 10x Dilution,,,,,3.457,33.315,,37.844
2015-04-29 00:11:43 UTC-6,5A 1:10,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs 10x Dilution,,,,,2.411,19.208,,36.230
2015-04-28 22:52:06 UTC-6,4A 1:10,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs 10x Dilution,,,,,5.658,55.307,,43.644
2015-04-28 21:32:31 UTC-6,3A 1:10,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs 10x Dilution,,,,,1.284,11.089,,18.553
2015-04-28 20:12:35 UTC-6,2A 1:10,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs No dilution,,,,,2.131,10.928,,35.473
2015-04-28 18:53:02 UTC-6,1A 1:10,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,8.568,51.288,,-18.344
2015-04-28 17:33:27 UTC-6,1A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs No dilution,,,,,45.109,506.545,,55.227
2015-04-28 16:14:01 UTC-6,QC20,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,19.550,20.965,20.080,53.771
2015-04-28 15:24:39 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,43.261,66.303
2015-04-23 10:33:07 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,19.796
2015-04-23 09:43:52 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,26.254
2015-04-23 08:54:37 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,42.782,198.835
2015-04-15 10:36:38 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,15.774
2015-04-15 09:47:23 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,22.336
2015-04-15 08:58:09 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,179.544
2015-03-17 20:42:20 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-12.164
2015-03-17 19:53:00 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-24.026
2015-03-17 19:03:28 UTC-6,6A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs 10x Dilution,,,,,3.327,32.903,,1.493
2015-03-17 17:43:47 UTC-6,5A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs 10x Dilution,,,,,2.344,18.658,,-1.829
2015-03-17 16:24:08 UTC-6,4A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs 10x Dilution,,,,,5.446,53.071,,3.115
2015-03-17 15:04:29 UTC-6,3A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs 10x Dilution,,,,,11.333,65.920,,-24.541
2015-03-17 13:44:50 UTC-6,2A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs No dilution,,,,,271.011,,,56.527
2015-03-17 12:25:12 UTC-6,1A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,Allowed to vent to atmosphere for ~180hrs No dilution,,,,,79.064,1098.843,,43.798
2015-03-17 11:05:45 UTC-6,QC20,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.180,21.515,20.749,-20.176
2015-03-17 10:16:26 UTC-6,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,347.278
2015-03-03 22:41:29 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-2.510
2015-03-03 21:52:10 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-5.730
2015-03-03 21:02:35 UTC-7,QC20-3,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,Using New Filter,,,,,20.411,21.392,20.413,16.491
2015-03-03 19:42:54 UTC-7,QC20-2,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,Using New Filter,,,,,20.427,21.376,20.382,16.822
2015-03-03 18:23:14 UTC-7,QC20-1,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,Using New Filter,,,,,20.385,21.349,20.376,17.489
2015-03-03 17:03:36 UTC-7,6A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,1:10 Dilution,,,,,4.799,44.204,,20.531
2015-03-03 15:44:12 UTC-7,6,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,1:10 Dilution,,,,,40.645,40.120,23.448,24.259
2015-03-03 14:54:53 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,17.208,-98.885
2015-03-03 04:08:39 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-8.112
2015-03-03 03:19:15 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-8.492
2015-03-03 02:29:41 UTC-7,QC20,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.408,21.362,20.373,11.631
2015-03-03 01:09:57 UTC-7,5A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,1:10 Dilution,,,,,20.091,130.666,,-39.502
2015-03-02 23:50:14 UTC-7,5,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,1:10 Dilution,,,,,31.212,30.551,18.159,6.216
2015-03-02 22:30:29 UTC-7,4A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,1:5 Dilution,,,,,61.628,152.791,,23.320
2015-03-02 21:10:43 UTC-7,4,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,1:5 Dilution,,,,,41.902,40.750,23.786,9.231
2015-03-02 19:50:49 UTC-7,3A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,1:5 Dilution,,,,,45.280,,,20.400
2015-03-02 18:31:09 UTC-7,3,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,1:5 Dilution,,,,,21.382,20.736,11.940,-7.563
2015-03-02 17:11:30 UTC-7,2A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,343.725,,,-6014.182
2015-03-02 15:51:51 UTC-7,2,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,53.230,51.329,52.268,27.250
2015-03-02 14:32:12 UTC-7,1A,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,58.348,249.176,,-259.166
2015-03-02 13:12:33 UTC-7,1,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.459,3.047,2.318,2.086
2015-03-02 11:53:05 UTC-7,H-F2,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,4.495,56.555,,29.004
2015-03-02 11:03:40 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,36.531,175.200
2015-02-27 07:38:19 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-8.663
2015-02-27 06:48:55 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-10.630
2015-02-27 05:59:21 UTC-7,QC20,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.470,21.404,20.416,11.428
2015-02-27 04:39:37 UTC-7,H-E2,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,16.467,173.488,,-54.423
2015-02-27 03:19:55 UTC-7,H-D2,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,18.956,257.561,,165.602
2015-02-27 02:00:12 UTC-7,H-C2,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,5.078,45.701,0.332,21.879
2015-02-27 00:40:31 UTC-7,H-B2,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,8.400,94.701,,38.237
2015-02-26 23:20:44 UTC-7,H-A2,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,4.724,40.185,,15.168
2015-02-26 22:01:04 UTC-7,O-F1,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,17.339,297.110,,33.987
2015-02-26 20:41:18 UTC-7,O-E1,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.863,36.425,1.114,8.530
2015-02-26 19:21:40 UTC-7,O-D1,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.079,44.495,1.946,-10.409
2015-02-26 18:02:02 UTC-7,O-C1,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,3.324,39.367,1.347,-8.527
2015-02-26 16:42:24 UTC-7,O-B1,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.969,31.451,1.519,-12.732
2015-02-26 15:23:01 UTC-7,O-A1,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.105,34.639,,8.545
2015-02-26 14:33:47 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,6.667,-222.273
2015-02-26 11:37:26 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-23.511
2015-02-26 10:48:01 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-5.550
2015-02-26 09:58:35 UTC-7,STD1,Standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.516,1.253,1.244,-12.975
2015-02-26 09:09:13 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,20.958,-163.646
2015-02-25 21:56:29 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-23.232
2015-02-25 21:07:04 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.998,,,25.516
2015-02-25 20:43:44 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,
2015-02-25 19:54:12 UTC-7,QC 20,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.598,21.460,20.367,10.038
2015-02-25 18:34:39 UTC-7,1ppm Check,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.891,1.491,1.359,-58.704
2015-02-25 17:12:40 UTC-7,STD5,Standard 5,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,53.078,50.938,52.115,46.773
2015-02-25 15:49:15 UTC-7,STD4,Standard 4,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,31.902,30.619,31.289,31.961
2015-02-25 14:29:37 UTC-7,STD3,Standard 3,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.991,20.573,20.558,25.294
2015-02-25 13:10:00 UTC-7,STD2,Standard 2,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,5.410,5.097,5.218,5.171
2015-02-25 11:50:37 UTC-7,STD1,Standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,0.913,1.159,-3.198
2015-02-25 11:01:14 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-31.792
2015-02-20 11:02:44 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,-0.075,,0.059,,,,,
2015-02-20 09:57:18 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,-0.078,,0.059,,,,,
2015-02-20 08:50:02 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,5.217,4.078,,,,,
2015-02-11 17:47:01 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.061,,,,,
2015-02-11 16:41:15 UTC-7,QCs,Check standard 1,Cenovus anions,Lifeng,,50.889,4.929,4.979,4.936,,,,
2015-02-11 15:35:34 UTC-7,CVE1501A010,Sample,Cenovus anions,Lifeng,20 x dilution,133.230,0.754,0.273,0.114,,,,
2015-02-11 14:29:55 UTC-7,CVE1501A009,Sample,Cenovus anions,Lifeng,20 x dilution,134.170,0.758,0.635,0.116,,,,
2015-02-11 13:23:10 UTC-7,QCs,Check standard 1,Cenovus anions,Lifeng,,50.954,4.940,5.003,4.957,,,,
2015-02-11 12:16:03 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,-0.064,,0.053,,,,,
2015-02-11 11:18:25 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-02-11 10:22:48 UTC-7,CVE1501A009,Sample,Cenovus anions,Lifeng,20 x dilution,,,,,,,,
2015-02-11 09:16:57 UTC-7,CVE1501A008,Sample,Cenovus anions,Lifeng,20 x dilution,125.986,0.651,1.440,0.109,,,,
2015-02-11 08:11:07 UTC-7,CVE1501A007,Sample,Cenovus anions,Lifeng,20 x dilution,131.699,0.717,0.796,0.113,,,,
2015-02-10 18:04:13 UTC-7,CVE1501A006,Sample,Cenovus anions,Lifeng,20 x dilution,131.561,0.721,0.445,0.111,,,,
2015-02-10 16:58:23 UTC-7,CVE1501A005,Sample,Cenovus anions,Lifeng,20 x dilution,119.289,1.399,1.253,0.744,,,,
2015-02-10 15:52:36 UTC-7,LFB,Sample,Cenovus anions,Lifeng,,9.888,1.952,1.949,1.950,,,,
2015-02-10 14:46:48 UTC-7,QCs,Check standard 1,Cenovus anions,Lifeng,,50.680,4.903,4.981,4.899,,,,
2015-02-10 13:41:01 UTC-7,LRB,Sample,Cenovus anions,Lifeng,,-0.046,,0.060,,,,,
2015-02-10 12:35:20 UTC-7,IPCs,Sample,Cenovus anions,Lifeng,,100.059,4.919,4.859,4.884,,,,
2015-02-10 11:27:44 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-02-10 10:36:14 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.059,,,,,
2015-02-10 09:30:25 UTC-7,QCs,Check standard 1,Cenovus anions,Lifeng,,50.820,4.904,4.961,4.918,,,,
2015-02-10 08:24:35 UTC-7,CVE1501A005,Sample,Cenovus anions,Lifeng,,115.297,1.395,1.038,0.715,,,,
2015-02-10 04:30:24 UTC-7,CVE1501A004 DUP,Sample,Cenovus anions,Lifeng,20 x dilution,122.471,1.237,0.460,0.581,,,,
2015-02-10 03:24:33 UTC-7,CVE1501A004,Sample,Cenovus anions,Lifeng,20 x dilution,125.994,1.268,0.460,0.595,,,,
2015-02-10 02:18:43 UTC-7,CVE1501A003,Sample,Cenovus anions,Lifeng,20 x dilution,130.261,0.718,0.393,0.109,,,,
2015-02-10 01:12:54 UTC-7,CVE1501A002,Sample,Cenovus anions,Lifeng,20 x dilution,130.192,0.651,0.380,0.110,,,,
2015-02-10 00:07:03 UTC-7,CVE1501A001,Sample,Cenovus anions,Lifeng,20 x dilution,123.457,0.684,0.357,0.102,,,,
2015-02-09 23:01:15 UTC-7,LFB,Sample,Cenovus anions,Lifeng,,9.858,1.938,1.952,1.966,,,,
2015-02-09 21:55:26 UTC-7,QCs,Check standard 1,Cenovus anions,Lifeng,,50.623,4.883,4.961,4.918,,,,
2015-02-09 20:49:36 UTC-7,LRB,Sample,Cenovus anions,Lifeng,,-0.055,,0.059,,,,,
2015-02-09 19:43:48 UTC-7,IPC,Sample,Cenovus anions,Lifeng,,100.064,4.936,4.904,4.919,,,,
2015-02-09 18:37:59 UTC-7,Standard 6,Standard 6,Cenovus anions,Lifeng,,200.039,10.049,10.086,10.058,,,,
2015-02-09 17:32:10 UTC-7,Standard 5,Standard 5,Cenovus anions,Lifeng,,99.995,5.011,5.012,5.013,,,,
2015-02-09 16:26:20 UTC-7,Standard 4,Standard 4,Cenovus anions,Lifeng,,49.999,2.001,2.002,2.000,,,,
2015-02-09 15:20:32 UTC-7,Standard 3,Standard 3,Cenovus anions,Lifeng,,25.000,0.500,0.500,0.500,,,,
2015-02-09 14:14:42 UTC-7,Standard 2,Standard 2,Cenovus anions,Lifeng,,5.000,0.100,0.100,0.100,,,,
2015-02-09 13:09:01 UTC-7,Standard 1,Standard 1,Cenovus anions,Lifeng,,2.500,0.050,0.050,0.050,,,,
2015-02-09 12:01:19 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.020,,,,,
2015-02-05 02:28:41 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,7.829
2015-02-05 01:39:17 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,5.441
2015-02-05 00:49:43 UTC-7,QC20 Duplicate,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.770,21.621,20.424,39.572
2015-02-04 23:30:00 UTC-7,AOP1406B002b - Dup,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.228,34.804,1.676,-26.826
2015-02-04 22:10:18 UTC-7,AOP1406B014b,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.239,32.867,1.001,27.308
2015-02-04 20:50:36 UTC-7,AOP1406B012b,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.869,34.193,1.411,-3.742
2015-02-04 19:30:55 UTC-7,AOP1406B011b,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.566,34.678,1.481,-12.323
2015-02-04 18:11:15 UTC-7,AOP1406B008b,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,3.031,34.747,1.336,6.577
2015-02-04 16:51:36 UTC-7,AOP1501F004b,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.354,39.150,1.604,-12.869
2015-02-04 15:31:59 UTC-7,AOP1406B006b,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,3.045,34.436,1.358,2.257
2015-02-04 14:12:20 UTC-7,AOP1406B003b,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.750,34.588,1.581,-14.403
2015-02-04 12:52:43 UTC-7,AOP1406B002b,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.178,34.356,1.639,-22.214
2015-02-04 11:33:05 UTC-7,AOP1406B001b,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.288,36.064,1.701,-19.771
2015-02-04 10:13:42 UTC-7,QC20,Check standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.551,21.342,20.161,37.966
2015-02-04 09:24:19 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,34.270,359.735
2015-01-30 19:41:08 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-36.736
2015-01-30 18:51:48 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-9.425
2015-01-30 18:02:16 UTC-7,QC 20 duplicate,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.825,21.662,20.476,4.366
2015-01-30 16:42:33 UTC-7,AOP1406B014a,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,0.980,27.096,0.898,13.267
2015-01-30 15:22:50 UTC-7,AOP1406B012a,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.004,33.547,1.413,-25.909
2015-01-30 14:03:08 UTC-7,AOP1406B011a,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.941,34.500,1.524,-31.756
2015-01-30 12:43:26 UTC-7,AOP1406B009a,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,BD Control pH 5.53,,,,,1.067,29.863,1.377,-30.031
2015-01-30 11:23:58 UTC-7,QC 20,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.839,21.669,20.476,29.506
2015-01-30 10:34:44 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,12.271,-197.825
2015-01-30 05:39:06 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-18.312
2015-01-30 04:49:46 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,,-13.564
2015-01-30 04:00:17 UTC-7,QC 20 duplicate,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.778,21.593,20.393,17.849
2015-01-30 02:40:39 UTC-7,AOP1406B008a,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.003,34.493,1.369,-29.827
2015-01-30 01:21:01 UTC-7,AOP1406B006a,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,3.000,34.907,1.401,-35.686
2015-01-30 00:01:24 UTC-7,AOP1406B003a,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,2.737,34.790,1.635,-54.053
2015-01-29 22:41:48 UTC-7,AOP1406B002a,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.028,34.038,1.731,-42.352
2015-01-29 21:22:12 UTC-7,AOP1406B001a,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,1.008,36.107,2.132,-51.169
2015-01-29 20:02:36 UTC-7,AOP1501F004,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,BD Control pH 5.53,,,,,1.446,38.592,2.251,-60.535
2015-01-29 18:43:03 UTC-7,QC 20,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,20.805,21.609,20.403,-1.911
2015-01-29 17:23:29 UTC-7,STD5,Standard 5,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,53.093,51.040,52.115,41.840
2015-01-29 16:03:56 UTC-7,STD4,Standard 4,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,33.124,32.251,32.936,13.664
2015-01-29 14:44:25 UTC-7,STD3,Standard 3,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,21.526,21.067,21.525,10.762
2015-01-29 13:24:52 UTC-7,STD2,Standard 2,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,5.453,5.346,5.383,-3.069
2015-01-29 12:05:26 UTC-7,STD1,Standard 1,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,0.867,1.030,-24.732
2015-01-29 11:15:58 UTC-7,MQ,Sample,ORGANIC ACIDS 2014-01-07,Lifeng,,,,,,,,45.285,27.950
2014-12-16 13:05:54 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.026,,,,,
2014-12-16 12:00:06 UTC-7,QCs,Check standard 1,Cenovus anions,Lifeng,,49.995,4.893,4.939,4.864,,,,
2014-12-16 09:16:52 UTC-7,CVE1412A010,Sample,Cenovus anions,Lifeng,20 x dilution,131.549,0.659,0.202,0.118,,,,
2014-12-16 08:11:06 UTC-7,CVE1412A009,Sample,Cenovus anions,Lifeng,20 x dilution,129.889,0.642,0.170,0.111,,,,
2014-12-16 07:05:20 UTC-7,CVE1412A008,Sample,Cenovus anions,Lifeng,20 x dilution,132.750,0.664,0.163,0.114,,,,
2014-12-16 05:59:34 UTC-7,CVE1412A007,Sample,Cenovus anions,Lifeng,20 x dilution,128.761,0.641,1.299,0.111,,,,
2014-12-16 04:53:46 UTC-7,CVE1412A006D,Sample,Cenovus anions,Lifeng,20 x dilution,132.139,0.656,0.120,0.116,,,,
2014-12-16 03:47:58 UTC-7,CVE1412A006,Sample,Cenovus anions,Lifeng,20 x dilution,131.983,0.654,0.134,0.121,,,,
2014-12-16 02:42:11 UTC-7,CVE1412A005,Sample,Cenovus anions,Lifeng,20 x dilution,122.489,0.606,0.165,0.105,,,,
2014-12-16 01:36:24 UTC-7,CVE1412A004,Sample,Cenovus anions,Lifeng,20 x dilution,132.400,0.655,0.253,0.114,,,,
2014-12-16 00:30:36 UTC-7,CVE1412A003,Sample,Cenovus anions,Lifeng,20 x dilution,117.229,1.355,0.789,0.701,,,,
2014-12-15 23:24:47 UTC-7,CVE1412A002,Sample,Cenovus anions,Lifeng,20 x dilution,124.707,1.184,0.215,0.531,,,,
2014-12-15 22:18:57 UTC-7,CVE1412A001,Sample,Cenovus anions,Lifeng,20 x dilution,invalid,invalid,invalid,invalid,,,,
2014-12-15 21:13:07 UTC-7,LFB,Sample,Cenovus anions,Lifeng,,10.083,1.942,1.964,1.933,,,,
2014-12-15 20:07:15 UTC-7,QCs,Check standard 1,Cenovus anions,Lifeng,,50.107,4.911,4.984,4.928,,,,
2014-12-15 19:01:28 UTC-7,LRB,Sample,Cenovus anions,Lifeng,,0.372,,0.025,,,,,
