9/25/2014   3:04:54PM,,,,Blank-1,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0003,,,,,,,,,,,, .0004,, -.0003,, -.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0009,,,,,,,,,,,,,,,,,,,,,, -.0146,,,,,,,,,, .0076,,,,,, .0006,, .0006,,,,,, .0034,, .0060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:06:27PM,,,,Blank-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,, .0004,, -.0010,, -.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0020,,,,,,,,,,,,,,,,,,,,,, -.0085,,,,,,,,,, .0064,,,,,, .0001,, -.0000,,,,,, .0050,, .0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:08:01PM,,,,Blank-3,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,,,, -.0008,, -.0015,, -.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0023,,,,,,,,,,,,,,,,,,,,,, -.0055,,,,,,,,,, .0035,,,,,, .0000,, .0000,,,,,, .0022,, .0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:09:35PM,,,,Blank-4,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,, -.0021,, -.0014,, -.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0023,,,,,,,,,,,,,,,,,,,,,, -.0073,,,,,,,,,, .0054,,,,,, -.0000,, -.0001,,,,,, .0040,, .0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:11:09PM,,,,Blank-5,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,,,, .0002,, -.0009,, -.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0021,,,,,,,,,,,,,,,,,,,,,, -.0128,,,,,,,,,, .0039,,,,,, .0000,, -.0000,,,,,, .0039,, .0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:12:43PM,,,,Blank-6,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,, -.0005,, -.0016,, -.0010,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0023,,,,,,,,,,,,,,,,,,,,,, -.0073,,,,,,,,,, .0030,,,,,, -.0000,, -.0000,,,,,, .0007,, .0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:14:17PM,,,,Blank-7,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,, -.0002,, -.0008,, -.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0018,,,,,,,,,,,,,,,,,,,,,, -.0161,,,,,,,,,, .0049,,,,,, .0000,, -.0000,,,,,, .0024,, .0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,,11/10/2015  2:32:31 PM,,,,,,,,13 - 1 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,13 - 2 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,13 - 3 of 47,,,,Published:,11/10/2015  2:32:31 PM,,,,,,,13 - 4 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,13 - 5 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,13 - 6 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,13 - 7 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,13 - 8 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,13 - 9 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,13 - 10 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,13 - 11 of 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ag3280,,Al3082,Al3961,,As1890,,Au2427,,B_2496,,B_2497,,Ba2304,,Ba4130,,Ba4554,,Ba,,Ba4934,,Be3130,,Bi2230,,Bi3067,,Ca,,Ca3158,,Ca3179,,Ca3933,,Cd2265,,Cd2288,,Ce4040,,Ce5353,,Co2286,,Co2311,,Co2388,,Cr2677,,Cu3247,,Dy3531,,Er3372,,Eu3819,,Fe2382,,Fe,,Fe2599,,Ga2943,,Gd3350,,Ge2651,,Hf3399,,Hg1942,,Ho3456,,In2306,,In3256,,Ir2242,,K,,K_7664,,La3337,,Li6707,,Lu2615,,Mg,,Mg2790,,Mg2852,,Mn2576,,Mn2593,,Mo2020,,Mo2848,,Na5889,,Na5895,,Na8183,,Nb3094,,Nd4012,,Ni2316,,Os2255,,P_2136,,Pb2203,,Pd3404,,Pr4143,,Pt2144,,Rh3434,,Ru2678,,S_1826,,Sb2068,,Sc3613,,Se1960,,Si2516,,Sm3306,,Sn1899,,Sr2152,,Sr2282,,Sr4077,,Sr,,Sr4215,,Ta2685,,Tb3509,,Te2142,,Th2837,,Ti3349,,Tl1908,,Tm3131,,U_3670,,V_3093,,W_2397,,Y_3710,,Yb3289,,Zn2138,,Zn2138,,Zr3391,
9/25/2014   3:15:52PM,,,,Blank-8,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,, -.0002,, -.0015,, -.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0018,,,,,,,,,,,,,,,,,,,,,, .0040,,,,,,,,,, .0041,,,,,, .0000,, -.0000,,,,,, .0036,, .0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:17:28PM,,,,Blank-9,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0003,,,,,,,,,,,, -.0005,, -.0008,, -.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0020,,,,,,,,,,,,,,,,,,,,,, -.0101,,,,,,,,,, .0041,,,,,, -.0000,, -.0000,,,,,, .0020,, .0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:19:03PM,,,,Blank-10,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, -.0002,,,,,,,,,,,, -.0009,, -.0011,, -.0010,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0018,,,,,,,,,,,,,,,,,,,,,, -.0014,,,,,,,,,, .0062,,,,,, .0000,, -.0001,,,,,, .0021,, .0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:20:39PM,,,,QCS,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, 5.038,,,,,,,,,,,, 5.071,, 5.065,, 5.022,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.961,,,,,,,,,,,,,,,,,,,,,, 9.871,,,,,,,,,, 4.988,,,,,, 5.158,, 5.138,,,,,, 25.52,, 24.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:22:31PM,,,,Blank-11,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0008,,,,,,,,,,,, -.0019,, -.0006,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0009,,,,,,,,,,,,,,,,,,,,,, -.0050,,,,,,,,,, .0074,,,,,, .0009,, .0007,,,,,, .0057,, .0080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:24:06PM,,,,Blank-12,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,,,, .0006,, .0012,, .0005,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0020,,,,,,,,,,,,,,,,,,,,,, -.0083,,,,,,,,,, .0044,,,,,, -.0001,, .0001,,,,,, .0039,, .0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:25:43PM,,,,Blank-13,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,,,, .0049,, .0038,, .0044,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0019,,,,,,,,,,,,,,,,,,,,,, -.0026,,,,,,,,,, .0105,,,,,, .0000,, .0001,,,,,, .0071,, .0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:27:20PM,,,,Blank-14,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0004,,,,,,,,,,,, .0070,, .0053,, .0057,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0016,,,,,,,,,,,,,,,,,,,,,, .0008,,,,,,,,,, .0052,,,,,, -.0001,, .0001,,,,,, .0070,, .0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:28:57PM,,,,Blank-15,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,, .0119,, .0125,, .0128,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0018,,,,,,,,,,,,,,,,,,,,,, -.0132,,,,,,,,,, .0090,,,,,, -.0000,, -.0000,,,,,, .0067,, .0080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:30:32PM,,,,Blank-16,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0003,,,,,,,,,,,, .0035,, .0025,, .0028,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0019,,,,,,,,,,,,,,,,,,,,,, -.0059,,,,,,,,,, .0059,,,,,, -.0000,, .0000,,,,,, .0055,, .0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:32:05PM,,,,Blank-17,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,, -.0003,, -.0009,, -.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0016,,,,,,,,,,,,,,,,,,,,,, -.0095,,,,,,,,,, .0017,,,,,, -.0000,, -.0000,,,,,, .0052,, .0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:33:38PM,,,,Blank-18,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0003,,,,,,,,,,,, -.0009,, -.0012,, -.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0017,,,,,,,,,,,,,,,,,,,,,, -.0150,,,,,,,,,, .0100,,,,,, .0000,, .0001,,,,,, .0033,, .0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:35:10PM,,,,Blank-19,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,, -.0013,, -.0009,, -.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0021,,,,,,,,,,,,,,,,,,,,,, -.0166,,,,,,,,,, .0060,,,,,, -.0000,, -.0000,,,,,, .0041,, .0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:36:44PM,,,,Blank-20,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0003,,,,,,,,,,,, .0007,, -.0011,, -.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0016,,,,,,,,,,,,,,,,,,,,,, .0098,,,,,,,,,, .0090,,,,,, -.0000,, .0001,,,,,, .0027,, .0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:38:20PM,,,,QCS,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, 5.022,,,,,,,,,,,, 5.067,, 5.078,, 5.073,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.965,,,,,,,,,,,,,,,,,,,,,, 9.943,,,,,,,,,, 4.973,,,,,, 5.150,, 5.127,,,,,, 25.65,, 25.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:40:11PM,,,,MDL-1-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0044,,,,,,,,,,,, .1947,, .1988,, .2140,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0353,,,,,,,,,,,,,,,,,,,,,, .1349,,,,,,,,,, .0334,,,,,, .0029,, .0033,,,,,, .0475,, .1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:41:45PM,,,,MDL-2-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0027,,,,,,,,,,,, .1572,, .1515,, .1637,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0160,,,,,,,,,,,,,,,,,,,,,, .1521,,,,,,,,,, .0300,,,,,, .0017,, .0019,,,,,, .0272,, .0626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:43:19PM,,,,MDL-3-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0025,,,,,,,,,,,, .1483,, .1490,, .1604,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0272,,,,,,,,,,,,,,,,,,,,,, .1323,,,,,,,,,, .0375,,,,,, .0017,, .0015,,,,,, .0265,, .0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:44:54PM,,,,MDL-4-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0032,,,,,,,,,,,, .1325,, .1308,, .1378,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0173,,,,,,,,,,,,,,,,,,,,,, .1622,,,,,,,,,, .0277,,,,,, .0016,, .0020,,,,,, .0420,, .0740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:46:27PM,,,,MDL-5-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0026,,,,,,,,,,,, .0972,, .0969,, .1024,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0194,,,,,,,,,,,,,,,,,,,,,, .1502,,,,,,,,,, .0338,,,,,, .0015,, .0015,,,,,, .0442,, .0711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:48:03PM,,,,MDL-6-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0026,,,,,,,,,,,, .1049,, .1033,, .1098,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0165,,,,,,,,,,,,,,,,,,,,,, .1486,,,,,,,,,, .0285,,,,,, .0016,, .0014,,,,,, .0350,, .0659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:49:38PM,,,,MDL-7-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0028,,,,,,,,,,,, .1984,, .1892,, .2032,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0206,,,,,,,,,,,,,,,,,,,,,, .1634,,,,,,,,,, .0318,,,,,, .0017,, .0016,,,,,, .0452,, .0728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,,11/10/2015  2:32:31 PM,,,,,,,,14 - 1 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,14 - 2 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,14 - 3 of 47,,,,Published:,11/10/2015  2:32:31 PM,,,,,,,14 - 4 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,14 - 5 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,14 - 6 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,14 - 7 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,14 - 8 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,14 - 9 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,14 - 10 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,14 - 11 of 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ag3280,,Al3082,Al3961,,As1890,,Au2427,,B_2496,,B_2497,,Ba2304,,Ba4130,,Ba4554,,Ba,,Ba4934,,Be3130,,Bi2230,,Bi3067,,Ca,,Ca3158,,Ca3179,,Ca3933,,Cd2265,,Cd2288,,Ce4040,,Ce5353,,Co2286,,Co2311,,Co2388,,Cr2677,,Cu3247,,Dy3531,,Er3372,,Eu3819,,Fe2382,,Fe,,Fe2599,,Ga2943,,Gd3350,,Ge2651,,Hf3399,,Hg1942,,Ho3456,,In2306,,In3256,,Ir2242,,K,,K_7664,,La3337,,Li6707,,Lu2615,,Mg,,Mg2790,,Mg2852,,Mn2576,,Mn2593,,Mo2020,,Mo2848,,Na5889,,Na5895,,Na8183,,Nb3094,,Nd4012,,Ni2316,,Os2255,,P_2136,,Pb2203,,Pd3404,,Pr4143,,Pt2144,,Rh3434,,Ru2678,,S_1826,,Sb2068,,Sc3613,,Se1960,,Si2516,,Sm3306,,Sn1899,,Sr2152,,Sr2282,,Sr4077,,Sr,,Sr4215,,Ta2685,,Tb3509,,Te2142,,Th2837,,Ti3349,,Tl1908,,Tm3131,,U_3670,,V_3093,,W_2397,,Y_3710,,Yb3289,,Zn2138,,Zn2138,,Zr3391,
9/25/2014   3:51:14PM,,,,MDL-8-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0027,,,,,,,,,,,, .1198,, .1178,, .1264,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0240,,,,,,,,,,,,,,,,,,,,,, .1452,,,,,,,,,, .0233,,,,,, .0017,, .0018,,,,,, .0570,, .0926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:52:49PM,,,,MDL-9-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0030,,,,,,,,,,,, .1162,, .1090,, .1165,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0169,,,,,,,,,,,,,,,,,,,,,, .1605,,,,,,,,,, .0261,,,,,, .0014,, .0014,,,,,, .0347,, .0622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:54:25PM,,,,MDL-10-2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0027,,,,,,,,,,,, .1091,, .1033,, .1119,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0153,,,,,,,,,,,,,,,,,,,,,, .1483,,,,,,,,,, .0256,,,,,, .0016,, .0016,,,,,, .0409,, .0639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:56:03PM,,,,QCS,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, 4.978,,,,,,,,,,,,F 5.299,,F 5.276,, 5.081,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.107,,,,,,,,,,,,,,,,,,,,,, 9.882,,,,,,,,,, 5.239,,,,,,F 5.325,,F 5.297,,,,,, 25.44,, 24.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   3:58:13PM,,,,CVE1,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, 1.269,,,,,,,,,,,, 13.61,, 13.69,, 14.32,,,,,,,,,,,,,,,,,,,,,,,,,,,, .6212,,,,,,,,,,,,,,,,,,,,,, 262.2,,,,,,,,,, 3.654,,,,,, .0285,, .0309,,,,,, 2912.,, 2906.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .8457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   4:00:02PM,,,,CVE2,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, 1.502,,,,,,,,,,,, 20.49,, 20.55,, 21.38,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.579,,,,,,,,,,,,,,,,,,,,,, 1098.,,,,,,,,,, 1.921,,,,,, .1915,, .1999,,,,,, 2759.,, 2778.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .5346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   4:01:51PM,,,,Undigested Blank,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0003,,,,,,,,,,,, .0048,, .0030,, .0021,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0023,,,,,,,,,,,,,,,,,,,,,, -.0078,,,,,,,,,, .0051,,,,,, .0001,, .0000,,,,,, .1067,, .0517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   4:03:25PM,,,,Undigested LFB,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .5185,,,,,,,,,,,, 12.64,, 12.65,,^F *****,,,,,,,,,,,,,,,,,,,,,,,,,,,, .9823,,,,,,,,,,,,,,,,,,,,,, 9.993,,,,,,,,,, 2.601,,,,,, .2165,, .2192,,,,,, 5.286,, 5.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 10.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   4:05:04PM,,,,Digested Blank,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,, .0173,, .0102,, .0128,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0011,,,,,,,,,,,,,,,,,,,,,, -.0232,,,,,,,,,, .0233,,,,,, -.0000,, -.0000,,,,,, -.0397,, .0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   4:06:38PM,,,,Digested LFB,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .4835,,,,,,,,,,,, 11.63,, 11.65,, 11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,, .9032,,,,,,,,,,,,,,,,,,,,,, 9.036,,,,,,,,,, 2.343,,,,,, .2018,, .2034,,,,,, 4.722,, 4.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014   4:08:21PM,,,,Digested Blank Dup,,James,Cenovus3 (1),,,,,,,,,,,,,,,,,,,,,,, .0004,,,,,,,,,,,, .0091,, .0061,, .0055,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0018,,,,,,,,,,,,,,,,,,,,,, -.0120,,,,,,,,,, .0119,,,,,, .0002,, -.0000,,,,,, -.0104,, .0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
